City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response,X1,X2,X3,X4,X5,X6,X7,X8,X9
C4,4445,1,1,50,50,0,3,3.0,8,15392.0,0,0,1,0,0,0,0,0,0,0
C2,4537,1,0,46,36,1,9,4.0,22,16614.4,0,0,1,0,0,0,0,0,0,0
C2,457,1,0,57,56,1,11,3.0,22,19040.0,0,0,0,0,1,0,0,0,0,0
C2,3286,1,0,61,59,1,1,3.0,18,27468.0,0,1,0,0,0,0,0,0,0,0
C1,78,1,0,73,66,1,15,3.0,22,23961.6,0,1,0,0,0,0,0,0,0,0
C33,657,1,1,66,66,0,15,3.0,22,16830.0,0,0,1,0,0,0,0,0,0,0
C1,1600,0,1,25,25,0,15,3.0,17,6470.0,1,0,0,0,0,0,1,0,0,0
C10,1956,0,1,75,75,0,7,4.0,21,24912.0,0,1,0,0,0,0,0,0,0,0
C12,1398,0,1,24,24,0,3,3.0,16,5024.0,0,1,0,0,0,0,0,0,0,0
C1,3247,1,0,63,60,1,6,4.0,22,19588.8,1,0,0,0,0,1,0,0,0,0
C21,5203,1,1,55,55,0,1,2.0,13,16128.0,0,1,0,0,0,0,0,0,0,0
C15,1404,0,1,23,23,0,15,3.0,22,10512.0,0,1,0,0,0,0,0,0,0,0
C7,935,0,1,45,45,0,15,3.0,19,12096.0,0,0,0,0,0,0,1,0,0,0
C7,685,1,1,45,45,0,15,3.0,21,10224.0,1,0,0,1,0,0,0,0,0,0
C1,300,1,1,33,33,0,2,1.0,22,11232.0,0,0,0,0,1,0,0,0,0,0
C6,143,0,0,28,27,1,15,3.0,15,12275.2,1,1,0,0,0,0,0,0,0,0
C11,4114,0,1,20,20,0,15,3.0,1,9776.0,0,1,0,0,0,0,0,0,0,0
C2,110,0,1,33,33,0,10,4.0,22,12564.0,0,0,0,0,1,0,0,0,0,0
C8,558,0,1,28,28,0,6,4.0,22,7728.0,0,1,0,0,0,0,0,0,0,0
C6,830,0,1,31,31,0,7,3.0,18,6070.0,1,0,0,1,0,0,0,0,0,0
C3,2078,1,1,48,48,0,15,3.0,2,9728.0,0,1,0,0,0,0,0,0,0,0
C4,248,0,1,28,28,0,6,3.0,21,10416.0,1,1,0,0,0,0,0,0,0,0
C1,24,1,1,75,75,0,13,3.0,18,23750.0,0,0,0,1,0,0,0,0,0,0
C1,1280,0,1,22,22,0,15,3.0,20,7160.0,0,1,0,0,0,0,0,0,0,0
C6,1230,0,1,64,64,0,15,3.0,15,15132.0,1,0,0,1,0,0,0,0,0,0
C2,2299,1,0,75,70,1,15,3.0,17,25048.8,0,0,0,1,0,0,0,0,0,0
C16,22,0,1,60,60,0,15,3.0,17,19628.0,0,0,0,1,0,0,0,0,0,0
C15,2884,1,1,51,51,0,15,3.0,2,16016.0,0,0,0,1,0,0,0,0,0,0
C16,79,0,1,46,46,0,4,1.0,19,15072.0,0,0,0,0,0,0,1,0,0,0
C10,293,1,1,26,26,0,15,3.0,18,5104.0,1,1,0,0,0,0,0,0,0,0
C8,1578,1,1,65,65,0,13,4.0,21,16408.0,0,0,0,0,1,0,0,0,0,0
C7,243,0,1,28,28,0,15,3.0,17,11032.0,0,0,0,0,1,0,0,0,0,0
C19,3440,1,1,52,52,0,3,2.0,17,16172.0,0,1,0,0,0,0,0,0,0,0
C13,1721,0,1,21,21,0,15,3.0,17,5304.0,1,0,1,0,0,0,0,0,0,0
C2,646,1,0,69,68,1,15,4.0,22,22860.0,0,1,0,0,0,0,0,0,0,0
C11,2160,1,1,52,52,0,6,1.0,15,11682.0,1,1,0,0,0,0,0,0,0,0
C4,1612,1,1,33,33,0,15,3.0,8,5930.0,0,0,1,0,0,0,0,0,0,0
C2,638,0,1,25,25,0,15,3.0,11,9760.0,0,0,0,0,1,0,0,0,0,0
C33,2966,0,1,38,38,0,1,1.0,16,14344.0,1,0,0,0,1,0,0,0,0,0
C15,1549,1,1,43,43,0,3,3.0,1,11960.0,0,1,0,0,0,0,0,0,0,0
C4,1021,1,1,63,63,0,8,1.0,16,17136.0,0,1,0,0,0,0,0,0,0,0
C1,583,0,1,26,26,0,15,3.0,22,10494.0,0,1,0,0,0,0,0,0,0,0
C9,813,1,1,75,75,0,3,1.0,12,21432.0,0,0,0,0,1,0,0,0,0,0
C3,2536,1,1,46,46,0,4,2.0,12,13222.0,1,1,0,0,0,0,0,0,0,0
C9,518,0,1,22,22,0,15,3.0,11,5950.0,0,1,0,0,0,0,0,0,0,0
C2,5073,1,0,34,31,0,4,3.0,22,13876.8,1,1,0,0,0,0,0,0,0,0
C11,3288,1,0,64,26,0,4,3.0,5,30624.0,0,0,1,0,0,0,0,0,0,0
C11,2894,1,1,22,22,0,2,2.0,20,6630.0,1,1,0,0,0,0,0,0,0,0
C1,2033,1,1,62,62,0,15,3.0,17,18368.0,1,0,0,0,1,0,0,0,0,0
C1,1527,1,1,75,75,0,9,4.0,16,20808.0,0,0,0,1,0,0,0,0,0,0
C22,4254,1,1,75,75,0,15,3.0,1,15008.0,0,0,1,0,0,0,0,0,0,0
C12,2983,1,1,54,54,0,1,1.0,2,15264.0,1,1,0,0,0,0,0,0,0,0
C3,2202,1,1,75,75,0,4,3.0,17,20952.0,0,0,1,0,0,0,0,0,0,0
C2,2452,1,0,62,20,1,5,3.0,21,30374.4,0,1,0,0,0,0,0,0,0,0
C2,3753,1,1,48,48,0,5,1.0,2,15686.0,0,1,0,0,0,0,0,0,0,0
C4,294,0,1,24,24,0,15,3.0,18,8470.0,0,1,0,0,0,0,0,0,0,0
C8,3122,1,0,52,45,1,15,3.0,21,25284.0,0,1,0,0,0,0,0,0,0,0
C1,729,1,1,53,53,0,6,3.0,17,10674.0,0,1,0,0,0,0,0,0,0,0
C4,1798,1,0,23,22,1,3,4.0,18,5472.0,0,0,0,1,0,0,0,0,0,0
C7,2330,1,1,47,47,0,15,3.0,20,13640.0,0,1,0,0,0,0,0,0,0,0
C21,5425,1,1,75,75,0,2,3.0,13,16660.0,0,0,1,0,0,0,0,0,0,0
C2,521,0,1,65,65,0,10,3.0,17,13056.0,0,0,1,0,0,0,0,0,0,0
C13,946,1,1,37,37,0,15,3.0,20,10422.0,0,0,1,0,0,0,0,0,0,0
C17,818,0,1,26,26,0,15,3.0,16,4984.0,0,1,0,0,0,0,0,0,0,0
C9,1712,1,1,45,45,0,15,4.0,22,14040.0,0,0,0,0,1,0,0,0,0,0
C9,2634,0,0,58,25,0,15,3.0,22,23696.4,1,0,0,0,1,0,0,0,0,0
C6,231,1,1,33,33,0,1,3.0,22,10272.0,0,1,0,0,0,0,0,0,0,0
C10,1077,0,1,34,34,0,3,1.0,2,9548.0,0,0,0,1,0,0,0,0,0,0
C1,3516,0,0,34,33,1,7,1.0,12,10854.0,0,0,0,0,0,1,0,0,0,0
C2,117,1,1,55,55,0,15,3.0,21,17580.0,0,1,0,0,0,0,0,0,0,0
C3,4813,1,1,54,54,0,5,3.0,12,9900.0,0,1,0,0,0,0,0,0,0,0
C8,2095,0,1,52,52,0,15,3.0,18,17584.0,0,0,0,1,0,0,0,0,0,0
C12,84,1,0,67,64,1,5,1.0,19,25079.6,1,0,1,0,0,0,0,0,0,0
C7,1692,1,0,72,66,1,4,3.0,14,22554.0,0,0,0,1,0,0,0,0,0,0
C6,195,1,1,26,26,0,4,2.0,20,4744.0,0,0,0,1,0,0,0,0,0,0
C2,2863,1,0,33,28,0,8,1.0,22,12079.2,1,0,1,0,0,0,0,0,0,0
C9,623,1,1,22,22,0,1,2.0,4,7620.0,0,1,0,0,0,0,0,0,0,0
C1,3055,1,0,47,19,0,15,3.0,5,19602.0,0,1,0,0,0,0,0,0,0,0
C10,691,1,0,32,29,1,6,3.0,16,11865.6,1,0,1,0,0,0,0,0,0,0
C16,1739,0,1,30,30,0,5,3.0,14,7742.0,1,0,1,0,0,0,0,0,0,0
C9,2590,0,1,24,24,0,15,3.0,7,6910.0,0,0,1,0,0,0,0,0,0,0
C16,4424,0,1,25,25,0,3,1.0,20,10134.0,0,0,0,0,1,0,0,0,0,0
C2,4064,1,1,38,38,0,4,3.0,22,13960.0,0,0,0,0,1,0,0,0,0,0
C12,4645,1,0,26,25,1,5,3.0,2,15334.4,1,0,0,1,0,0,0,0,0,0
C15,1459,1,1,56,56,0,15,1.0,19,14000.0,0,1,0,0,0,0,0,0,0,0
C6,114,0,1,26,26,0,15,3.0,10,6270.0,0,0,1,0,0,0,0,0,0,0
C3,1382,0,1,36,36,0,3,3.0,22,14080.0,0,0,0,1,0,0,0,0,0,0
C8,1923,0,1,55,55,0,15,3.0,17,11980.0,1,1,0,0,0,0,0,0,0,0
C6,400,0,1,22,22,0,2,3.0,15,5910.0,0,1,0,0,0,0,0,0,0,0
C5,1240,0,1,29,29,0,1,1.0,12,6480.0,0,1,0,0,0,0,0,0,0,0
C16,1994,1,1,44,44,0,15,3.0,15,14088.0,1,0,0,1,0,0,0,0,0,0
C11,374,1,1,54,54,0,15,3.0,19,10908.0,1,0,0,0,1,0,0,0,0,0
C15,2677,1,1,35,35,0,4,2.0,15,8246.0,1,0,0,0,0,0,1,0,0,0
C11,2740,1,0,75,73,1,10,4.0,17,28044.8,1,0,0,0,0,1,0,0,0,0
C6,776,0,1,27,27,0,2,3.0,10,9478.0,0,0,0,0,0,0,1,0,0,0
C10,1956,1,0,41,36,1,15,3.0,12,12275.2,0,1,0,0,0,0,0,0,0,0
C1,340,1,1,56,56,0,15,3.0,19,16688.0,0,0,0,1,0,0,0,0,0,0
C18,1385,1,1,33,33,0,5,1.0,16,13720.0,0,0,1,0,0,0,0,0,0,0
C14,3048,0,1,23,23,0,15,3.0,17,6296.0,0,0,0,0,1,0,0,0,0,0
C2,3644,0,1,26,26,0,2,2.0,14,4640.0,0,0,0,1,0,0,0,0,0,0
C7,998,0,1,21,21,0,1,1.0,19,10864.0,0,1,0,0,0,0,0,0,0,0
C2,674,0,1,65,65,0,9,3.0,11,17970.0,0,1,0,0,0,0,0,0,0,0
C8,473,1,0,64,62,1,15,3.0,1,23788.8,0,0,1,0,0,0,0,0,0,0
C19,820,1,0,59,53,1,1,1.0,16,24652.8,1,0,0,0,1,0,0,0,0,0
C2,4240,0,1,57,57,0,15,1.0,15,18844.0,1,1,0,0,0,0,0,0,0,0
C4,2419,1,1,52,52,0,15,3.0,18,16848.0,1,0,0,1,0,0,0,0,0,0
C3,3213,0,1,72,72,0,15,3.0,18,17004.0,0,0,0,1,0,0,0,0,0,0
C3,2600,0,1,22,22,0,15,3.0,20,8124.0,0,1,0,0,0,0,0,0,0,0
C18,276,1,1,25,25,0,15,3.0,20,6610.0,1,0,0,0,1,0,0,0,0,0
C3,83,0,1,26,26,0,15,3.0,4,10544.0,0,0,0,1,0,0,0,0,0,0
C8,1326,1,1,64,64,0,15,3.0,21,15262.0,0,0,0,0,0,0,1,0,0,0
C9,1442,1,1,31,31,0,15,3.0,8,9240.0,0,1,0,0,0,0,0,0,0,0
C2,1204,0,1,28,28,0,15,3.0,13,7176.0,1,1,0,0,0,0,0,0,0,0
C4,596,1,0,52,48,1,2,3.0,18,21824.0,1,1,0,0,0,0,0,0,0,0
C13,416,0,1,48,48,0,15,3.0,2,9936.0,0,1,0,0,0,0,0,0,0,0
C1,2343,0,1,20,20,0,15,3.0,19,9982.0,0,0,0,1,0,0,0,0,0,0
C4,2439,0,1,50,50,0,15,3.0,5,14014.0,1,1,0,0,0,0,0,0,0,0
C2,1490,1,1,52,52,0,14,3.0,11,16718.0,1,1,0,0,0,0,0,0,0,0
C16,1551,1,1,23,23,0,15,3.0,15,5560.0,0,1,0,0,0,0,0,0,0,0
C3,55,0,1,21,21,0,15,3.0,12,10032.0,0,1,0,0,0,0,0,0,0,0
C23,1,0,1,53,53,0,15,3.0,18,16146.0,1,1,0,0,0,0,0,0,0,0
C24,5530,1,1,28,28,0,15,3.0,20,9730.0,0,0,0,0,0,1,0,0,0,0
C3,2311,0,1,19,19,0,15,3.0,15,5400.0,1,0,0,1,0,0,0,0,0,0
C27,3487,1,0,30,28,1,8,3.0,21,9828.0,0,0,1,0,0,0,0,0,0,0
C1,39,1,1,29,29,0,15,3.0,14,8960.0,1,1,0,0,0,0,0,0,0,0
C3,2593,0,1,22,22,0,1,3.0,18,8844.0,0,1,0,0,0,0,0,0,0,0
C10,1780,0,1,49,49,0,4,1.0,19,13340.0,0,1,0,0,0,0,0,0,0,0
C2,1115,1,1,58,58,0,15,3.0,3,12940.0,1,0,1,0,0,0,0,0,0,0
C13,873,0,1,25,25,0,2,3.0,10,6340.0,0,1,0,0,0,0,0,0,0,0
C2,3306,1,1,34,34,0,2,4.0,3,13580.0,0,1,0,0,0,0,0,0,0,0
C2,1444,1,1,36,36,0,14,3.0,18,12438.0,1,0,0,0,1,0,0,0,0,0
C1,1969,1,1,25,25,0,15,3.0,16,10128.0,1,1,0,0,0,0,0,0,0,0
C23,111,1,1,26,26,0,3,3.0,18,9456.0,0,0,0,1,0,0,0,0,0,0
C1,469,1,1,30,30,0,15,3.0,19,11844.0,0,0,1,0,0,0,0,0,0,0
C1,1318,0,1,24,24,0,15,3.0,18,9030.0,0,1,0,0,0,0,0,0,0,0
C1,285,1,0,62,61,1,15,3.0,18,21296.0,0,0,0,0,1,0,0,0,0,0
C9,841,0,1,27,27,0,3,1.0,21,9562.0,0,0,0,1,0,0,0,0,0,0
C1,125,1,0,60,59,1,7,3.0,21,24813.6,1,1,0,0,0,0,0,0,0,0
C13,1400,0,1,43,43,0,15,3.0,22,10416.0,0,1,0,0,0,0,0,0,0,0
C19,4083,1,0,70,65,1,2,2.0,1,27504.0,0,0,0,0,0,1,0,0,0,0
C1,790,1,1,43,43,0,10,1.0,22,13904.0,0,0,1,0,0,0,0,0,0,0
C1,948,0,1,30,30,0,15,3.0,18,13800.0,1,0,1,0,0,0,0,0,0,0
C23,366,0,1,27,27,0,15,3.0,18,11574.0,1,0,0,1,0,0,0,0,0,0
C1,3559,1,1,65,65,0,5,3.0,22,21046.0,1,0,0,0,1,0,0,0,0,0
C13,1932,1,1,36,36,0,3,2.0,17,10422.0,0,1,0,0,0,0,0,0,0,0
C2,3644,1,1,67,67,0,4,2.0,21,13824.0,0,1,0,0,0,0,0,0,0,0
C1,3133,1,1,21,21,0,1,1.0,19,4344.0,0,0,0,1,0,0,0,0,0,0
C1,217,1,1,62,62,0,3,3.0,20,19328.0,0,0,0,0,1,0,0,0,0,0
C4,742,1,1,50,50,0,1,4.0,17,14712.0,1,0,1,0,0,0,0,0,0,0
C29,784,0,1,25,25,0,15,3.0,6,8890.0,0,1,0,0,0,0,0,0,0,0
C2,2137,1,1,70,70,0,10,4.0,17,16796.0,0,0,1,0,0,0,0,0,0,0
C2,1060,1,1,51,51,0,15,4.0,17,15672.0,0,0,1,0,0,0,0,0,0,0
C15,3497,1,0,52,43,0,14,3.0,1,27283.2,0,1,0,0,0,0,0,0,0,0
C2,1155,1,0,54,51,0,1,1.0,3,20505.6,1,0,0,0,1,0,0,0,0,0
C3,3363,1,1,25,25,0,15,3.0,19,5656.0,0,0,0,1,0,0,0,0,0,0
C4,81,0,1,38,38,0,15,3.0,18,13900.0,0,0,0,0,0,1,0,0,0,0
C4,2022,0,1,19,19,0,15,3.0,7,8750.0,0,1,0,0,0,0,0,0,0,0
C1,2121,0,1,28,28,0,2,1.0,16,5352.0,0,0,0,1,0,0,0,0,0,0
C2,3632,1,0,63,57,1,9,1.0,14,20130.0,0,1,0,0,0,0,0,0,0,0
C3,2155,1,0,70,67,1,1,3.0,22,30016.0,1,1,0,0,0,0,0,0,0,0
C26,2082,0,0,21,20,0,1,1.0,4,7526.4,0,0,0,1,0,0,0,0,0,0
C20,468,0,1,24,24,0,3,4.0,17,4800.0,0,1,0,0,0,0,0,0,0,0
C5,861,0,1,23,23,0,2,1.0,5,4296.0,0,1,0,0,0,0,0,0,0,0
C7,1497,0,1,41,41,0,15,3.0,1,8022.0,0,1,0,0,0,0,0,0,0,0
C2,18,0,1,37,37,0,15,3.0,22,14060.0,1,1,0,0,0,0,0,0,0,0
C34,67,1,0,61,58,1,2,3.0,6,27810.0,0,0,0,0,0,1,0,0,0,0
C2,137,1,0,40,37,1,15,3.0,22,15523.2,1,0,0,0,0,1,0,0,0,0
C2,3368,0,1,21,21,0,15,3.0,3,9084.0,0,1,0,0,0,0,0,0,0,0
C5,4188,0,0,34,28,1,15,3.0,20,15187.2,1,0,0,0,0,1,0,0,0,0
C2,1888,1,1,59,59,0,4,3.0,3,19068.0,0,0,1,0,0,0,0,0,0,0
C4,870,0,1,29,29,0,15,3.0,1,9990.0,0,1,0,0,0,0,0,0,0,0
C2,2448,0,1,25,25,0,15,3.0,11,4928.0,0,1,0,0,0,0,0,0,0,0
C3,3194,0,1,70,70,0,1,4.0,14,16884.0,0,0,0,1,0,0,0,0,0,0
C2,204,1,1,66,66,0,15,3.0,22,20130.0,0,0,0,1,0,0,0,0,0,0
C9,1376,0,1,35,35,0,15,3.0,16,12680.0,1,1,0,0,0,0,0,0,0,0
C1,1719,1,1,26,26,0,15,3.0,12,9558.0,0,1,0,0,0,0,0,0,0,0
C8,453,0,1,25,25,0,15,3.0,1,5860.0,0,0,0,1,0,0,0,0,0,0
C14,890,0,0,40,38,1,1,1.0,18,20640.0,0,0,0,0,0,0,1,0,0,0
C4,360,0,1,43,43,0,15,3.0,15,14664.0,1,0,0,0,0,0,1,0,0,0
C23,1180,1,1,41,41,0,1,1.0,13,11070.0,0,1,0,0,0,0,0,0,0,0
C4,360,0,1,37,37,0,15,3.0,5,14344.0,1,1,0,0,0,0,0,0,0,0
C6,2786,0,1,51,51,0,15,3.0,14,12320.0,0,1,0,0,0,0,0,0,0,0
C14,2901,0,1,33,33,0,2,1.0,16,7620.0,1,1,0,0,0,0,0,0,0,0
C1,1128,1,1,74,74,0,15,1.0,16,24012.0,0,1,0,0,0,0,0,0,0,0
C3,1691,0,1,41,41,0,1,1.0,12,12140.0,1,0,1,0,0,0,0,0,0,0
C2,1711,0,1,30,30,0,15,3.0,18,6130.0,1,1,0,0,0,0,0,0,0,0
C2,154,0,1,25,25,0,15,3.0,13,7800.0,0,0,1,0,0,0,0,0,0,0
C10,124,0,0,42,40,1,2,3.0,18,23328.0,0,1,0,0,0,0,0,0,0,0
C9,2892,0,1,22,22,0,15,3.0,16,10768.0,0,0,0,1,0,0,0,0,0,0
C1,3071,0,1,60,60,0,6,2.0,13,16458.0,0,0,0,1,0,0,0,0,0,0
C2,1451,0,1,57,57,0,7,3.0,18,20520.0,1,1,0,0,0,0,0,0,0,0
C2,632,0,1,56,56,0,15,3.0,12,17184.0,1,0,1,0,0,0,0,0,0,0
C6,143,0,1,20,20,0,15,3.0,20,5472.0,0,0,1,0,0,0,0,0,0,0
C10,754,1,0,55,48,1,2,4.0,17,24570.0,1,0,0,0,1,0,0,0,0,0
C9,967,1,0,51,41,1,1,3.0,4,13986.0,0,1,0,0,0,0,0,0,0,0
C20,181,0,1,28,28,0,2,2.0,21,8820.0,0,0,1,0,0,0,0,0,0,0
C29,93,0,1,19,19,0,15,3.0,20,9898.0,0,1,0,0,0,0,0,0,0,0
C5,3125,1,1,34,34,0,5,1.0,20,12096.0,1,1,0,0,0,0,0,0,0,0
C14,4434,0,1,42,42,0,15,3.0,18,11826.0,0,1,0,0,0,0,0,0,0,0
C8,2963,1,0,55,52,1,2,3.0,7,22240.4,0,0,1,0,0,0,0,0,0,0
C7,2614,1,1,75,75,0,15,3.0,9,18848.0,0,0,1,0,0,0,0,0,0,0
C1,981,1,1,61,61,0,5,3.0,14,20480.0,0,0,0,1,0,0,0,0,0,0
C15,213,1,0,67,44,1,6,4.0,22,23616.0,1,0,1,0,0,0,0,0,0,0
C6,5912,0,1,66,66,0,14,1.0,16,14496.0,1,0,1,0,0,0,0,0,0,0
C3,265,1,1,27,27,0,1,1.0,1,8876.0,0,1,0,0,0,0,0,0,0,0
C18,917,1,1,66,66,0,5,4.0,19,16056.0,0,1,0,0,0,0,0,0,0,0
C12,3115,1,1,33,33,0,3,2.0,20,9744.0,0,0,1,0,0,0,0,0,0,0
C1,1536,0,1,25,25,0,2,2.0,17,12546.0,1,0,1,0,0,0,0,0,0,0
C22,331,0,1,21,21,0,15,3.0,18,9296.0,1,1,0,0,0,0,0,0,0,0
C4,2923,0,1,19,19,0,15,3.0,19,5440.0,0,0,0,0,0,0,1,0,0,0
C4,4271,0,1,26,26,0,6,1.0,22,5416.0,1,1,0,0,0,0,0,0,0,0
C2,110,1,1,34,34,0,15,3.0,3,6730.0,0,0,1,0,0,0,0,0,0,0
C4,589,0,1,29,29,0,2,3.0,15,8928.0,0,1,0,0,0,0,0,0,0,0
C5,1232,1,1,39,39,0,15,3.0,21,11484.0,0,0,0,0,1,0,0,0,0,0
C13,595,0,1,42,42,0,15,3.0,19,11232.0,0,0,0,1,0,0,0,0,0,0
C2,1869,0,1,47,47,0,3,2.0,11,13302.0,0,0,1,0,0,0,0,0,0,0
C9,1349,1,1,26,26,0,15,3.0,21,9920.0,0,0,0,0,1,0,0,0,0,0
